image/jpeg,4677
image/png,2212
image/gif,806
text/css,635
text/javascript,575
application/x-javascript,571
application/javascript,324
text/html,251
font/woff,166
application/x-shockwave-flash,123
,102
application/octet-stream,60
text/plain,60
image/svg+xml,58
image/jpg,33
application/json,29
text/xml,26
text/x-cross-domain-policy,25
application/font-woff,22
application/x-font-woff,21
application/x-unknown-content-type,20
binary/octet-stream,13
video/abst,10
application/x-amf,9
application/x-download,9
application/xml,9
application/x-font-ttf,8
video/f4f,5
image/x-png,4
font/x-woff,4
video/webm,4
application/x-woff,4
application/js,3
image/bmp,3
application/vnd.ms-fontobject,2
video/f4m,2
text/vnd.wap.wml,1
video/x-flv,1
video/mp4,1
application/f4m+xml,1
